question,answer,language,category
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
How to prevent pests in rice?,Use neem oil or pheromone traps to control pests.,en_XX,pest_control
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
How much water does paddy need?,Paddy requires about 1200mm to 1500mm of water during the season.,en_XX,water_requirements
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
How much water does paddy need?,Paddy requires about 1200mm to 1500mm of water during the season.,en_XX,water_requirements
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
How much water does paddy need?,Paddy requires about 1200mm to 1500mm of water during the season.,en_XX,water_requirements
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
How to prevent pests in rice?,Use neem oil or pheromone traps to control pests.,en_XX,pest_control
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
How to prevent pests in rice?,Use neem oil or pheromone traps to control pests.,en_XX,pest_control
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
Which fertilizer is best for wheat?,Use nitrogen-rich fertilizers like Urea and DAP.,en_XX,fertilizer_advice
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
What is the ideal soil for sugarcane?,Loamy soil with good drainage is ideal for sugarcane.,en_XX,soil_information
What crop is best for summer?,"Crops like maize, sorghum, and millet are good for summer.",en_XX,crop_recommendation
